coffee_id,roaster,roast,origin,100g_USD,review
1014,Kakalove Cafe,Medium-Light,Taiwan,11.33,"Delicate, fruit-forward. Blueberry, molasses, fresh-cut fir, magnolia, bay leaf in aroma and cup. Sweet structure with tart-leaning, gentle acidity. Velvety mouthfeel. The crisp finish centers around blueberry and fir."
1000,Port of Mokha,,Yemen,39.68,"Deep yet soaring, vertically complex. Dried black currant, dark chocolate, sandalwood, ginger blossom, tangerine zest in aroma and cup. Richly sweet-savory with deep, vibrant acidity; viscous but buoyant mouthfeel. The long, lingering, multi-layered finish thoroughly honors the promise of the cup."
1094,Simon Hsieh Aroma Roast Coffees,Medium,Kenya,12.04,"Evaluated as espresso. Richly chocolaty, complex, multi-layered. Chocolate fudge, dried passionfruit, almond nougat, cedar, graphite in aroma and small cup. Lively, syrupy-smooth mouthfeel; crisply sweet-tart, chocolaty finish. In three parts milk, chocolate notes are amplified, and fruit tones softened, while the pleasing mineral edge lingers."
142,JBC Coffee Roasters,Medium-Light,Ethiopia,5.51,"Floral, bright, citrusy, balanced. Star jasmine, cocoa nib, tangerine zest, caramel, cedar in aroma and cup. Balanced, sweetly tart structure with lively acidity; delicate, silky mouthfeel. The finish centers around jasmine-like floral notes."
647,Roast House,Medium-Light,Ethiopia,4.19,"Delicate, sweetly spice-toned. Pink peppercorn, date, myrrh, lavender, roasted cacao nib in aroma and cup. Crisp, spice-toned structure with citrus-like acidity; satiny, very smooth mouthfeel. The crisply sweet finish centers around spice and pungent floral notes."
1159,Kakalove Cafe,Medium-Light,Ethiopia,3.89,"Intricately layered, deeply sweet. Wisteria, cocoa nib, nectarine, amber, cashew in aroma and cup. Bright, juicy acidity; plush, syrupy mouthfeel. The resonant, flavor-saturated finish leads with notes of wisteria and nectarine, balanced by suggestions of crisp cocoa."
1079,States Coffee,Medium-Light,Kenya,5.29,"Richly sweet, deeply savory. Wisteria, red currant, lime zest, tamarind, sandalwood in aroma and cup. Balanced structure with lively acidity; plush, syrupy-smooth mouthfeel. The bright finish leads with wisteria and red currant in the short; lime grapefruit zest and sandalwood carry the long."
1035,JBC Coffee Roasters,Medium-Light,Colombia,7.94,"Crisply sweet, complex, cocoa- and floral-toned. Cocoa nib, star jasmine, plum, tangerine zest, agave syrup in aroma and cup. Vibrantly sweet structure with juicy-bright acidity; plush, syrupy mouthfeel. Chocolaty finish with undertones of plum and tangerine zest."
772,Coffee By Design,Medium-Light,Ethiopia,4.08,"Aromatic, wood-framed, berry-toned. Berry melange, fresh-cut cedar, agave syrup, lily, grapefruit zest in aroma and cup. Sweet structure with gentle, round acidity; crisp, silky mouthfeel. Wood-framed finish with berry and grapefruit undertones."
22,Hula Daddy Kona Coffee,Medium-Light,Hawai'I,27.76,"Deeply and sweetly pungent; layered and intricate. Dark chocolate, raspberry, freesia, port wine, a hint of fresh, fragrant tobacco in aroma and cup. Balanced, quietly forceful in its sweet-savory structure; light but exceptionally silky in mouthfeel. All notes ring on in a layered, flavor-saturated finish."
890,JBC Coffee Roasters,Medium-Light,Kenya,6.17,"Evaluated as espresso. Berry- and flower-driven, intricately sweet-tart, wildly aromatic. Ripe raspberry, wisteria, toffee, sandalwood, dark chocolate in aroma and small cup. Viscous, syrupy mouthfeel; bright, berry-toned finish. In three parts milk, a lot like eating raspberry trifle laced with chocolate."
343,Java Blend Coffee Roasters,Medium-Light,Ethiopia,3.31,"Deeply and richly sweet. Strawberry, peach, sandalwood, almond butter, chrysanthemum in aroma and cup. Sweetly tart structure; crisp, satiny mouthfeel. The quiet finish consolidates around notes of almond and sandalwood."
98,El Gran Café,Medium,Guatemala,4.85,"Crisply sweet, high-toned, straightforward. Cocoa powder, lime zest, fresh-cut fir, freesia-like flowers, walnut in aroma and cup. Quietly tart structure with round, gently brisk acidity; lightly satiny mouthfeel. The rich-toned finish consolidates to notes of cocoa powder and walnut with hints of flowers."
113,Bird Rock Coffee Roasters,Medium-Light,Guatemala,6.17,"Complexly layered with sweet-savory depth. Wisteria, hop flowers, candied grapefruit zest, black cherry, pistachio butter in aroma and cup. Sweetly savory structure with gentle, rounded acidity; viscous, syrupy mouthfeel. The flavor-saturated finish is a mirror of the cup, carrying through on the coffee's savory-sweet resonance."
398,Big Island Coffee Roasters,Light,Hawai'I,25.57,"Elegantly fruit-toned, gently spice-driven. Date, clove, blood orange, baking chocolate, cedar in aroma and cup. Complex bittersweet structure with winey acidity; plush, syrupy mouthfeel. The resonant finish is centered around notes of date, blood orange and clove."
167,El Gran Cafe,Light,Guatemala,3.82,"Gently fruit-toned, wood-framed. Prune, balsa wood, hazelnut, orange zest, a hint of freesia in aroma and cup. Sweet-savory structure with gently bittersweet acidity; velvety mouthfeel. Notes of balsa and hazelnut drive the finish."
811,Dou Zhai Coffee & Roast,Medium,Colombia,17.07,"Unorthodox but coherent and compelling. Pungent rose, fresh fennel frond, ripe cantaloupe, walnut, marshmallow in aroma and cup. Roundly sweet-savory in structure, with an impressively smooth, plush mouthfeel. Rose-like flowers prevail in a deeply rich finish. "
460,Lina Premium Coffee,Medium-Dark,Colombia,4.63,"Evaluated as espresso. Deep-toned, chocolaty and rich. Dark chocolate, hazelnut, gently scorched cedar, raisin, gardenia-like flowers in aroma and small cup. Full, creamy mouthfeel; chocolaty, wood-framed finish. Milk amplifies both dark chocolate and hazelnut notes in a richly sweet presentation."
354,Kona Farm Direct,Medium-Light,Hawai'I,16.12,"Crisply sweet, cocoa-toned. Baking chocolate, hazelnut, date, cedar, molasses in aroma and cup. Sweet structure with gentle, round acidity; full, velvety mouthfeel. The finish consolidates to baking chocolate, hazelnut and cedar."
32,Paradise Roasters,Light,Nicaragua,8.79,"Crisp, balanced, bright. Red currant, thyme, wild honey, cocoa nib, amber in aroma and cup. Sweetly tart with crisp, lively acidity; viscous, almost creamy mouthfeel. Finish is sweetly herbaceous with hints of wild honey."
1150,San Francisco Bay Coffee,Medium,Guatemala,4.17,"Delicate, sweetly nut-toned. Candied walnut, persimmon, grapefruit zest, oak, magnolia in aroma and cup. Richly sweet structure with gentle, round acidity; lightly syrupy mouthfeel. The gently drying finish is redolent of candied walnut."
346,Amavida Coffee Roasters,Medium-Light,Ethiopia,5.88,"Crisp, delicate, richly high-toned. Apricot, cocoa nib, honeysuckle, sandalwood, agave syrup in aroma and cup. Sweet-toned structure with lively acidity; full, syrupy-smooth mouthfeel. Cocoa-toned apricot and honeysuckle enliven the quiet finish."
619,Metropolis Coffee,Medium,Colombia,3.69,"Richly chocolaty, floral-toned. Dark chocolate, magnolia, almond, caramel, cedar in aroma and cup. Sweet structure with mild acidity; delicate, velvety mouthfeel. A simple finish consolidates to notes of cedar and almond."
764,Temple Coffee and Tea,Medium-Light,Colombia,5.44,"High-toned, crisply sweet. Date, cashew butter, magnolia, grapefruit zest, cedar in aroma and cup. Sweetly tart in structure with brisk acidity; full, velvety mouthfeel. The resonant finish leads with notes of date and magnolia in the short, rounding to cashew butter and grapefruit zest in the long."
1211,Kakalove Cafe,Medium-Light,Ethiopia,4.6,"Richly sweet, cleanly fruit-driven, floral-toned. Raspberry jam, dark chocolate, gardenia, cedar, maple syrup in aroma and cup. Sweetly tart structure with bright, juicy acidity; crisp though syrupy mouthfeel. A resonant finish centers around raspberry and chocolate with hints of cedar."
258,Coffee by Design,Medium-Light,Rwanda,6.76,"Delicately fruit-forward, crisply chocolaty. Date, baking chocolate, hazelnut, tangerine zest, cane sugar in aroma and cup. Sweet-toned structure with gentle, round acidity, plush, syrupy-smooth mouthfeel. Understated, balance, nut- and chocolate-toned finish. "
864,Hula Daddy Kona Coffee,Medium-Light,Hawai'I,27.76,"Evaluated as espresso. Balanced, chocolaty, subtly fruit-toned. Dark chocolate, tamarind, wild honey, marjoram, honeysuckle in aroma and small cup. Plush, syrupy mouthfeel; chocolaty finish with undertones of tamarind and wild honey. In cappuccino-scaled milk, tart tamarind notes stand up to the chocolate, and undercurrents of honeysuckle contribute sweet spice notes."
1017,Kakalove Cafe,Medium-Light,Guatemala,3.19,"Evaluated as espresso. Deeply sweet, harmoniously balanced. Pomegranate syrup, almond butter, cedar, dark chocolate, plumeria in aroma and small cup. Full, satiny-smooth mouthfeel; chocolaty, floral-toned finish. Plumeria notes predominate in cappuccino-scaled milk, with undertones of dark chocolate and almond butter."
747,Lexington Coffee Roasters,Medium-Light,Colombia,4.85,"High-toned, crisply sweet. Maple syrup, orange zest, honeysuckle-like flowers, cedar, almond butter in aroma and cup. Sweetly and roundly tart structure; full, satiny mouthfeel. The richly drying finish is redolent of honeysuckle and orange zest in the short, rounding to buttery nut suggestions in the long."
566,Espresso Republic,Medium,Colombia,4.98,"Evaluated as espresso. Richly sweet, cocoa-toned. Cocoa powder, date, magnolia, molasses, oak in aroma and small cup. Satiny-smooth mouthfeel; resonant, chocolaty finish with notes of magnolia and oak. In three parts milk, floral tones are amplified, and cocoa notes are integrated with roasty-sweet aromatic wood."
